Category|Command|Endpoint_Payload|Expected_Response
Seestar Alpaca API|Action Method_Sync|/1/command command=scope_sync|TBD
Seestar Alpaca API|Action Method_Async|/1/command command=get_focuser_position|TBD
Startup and Shutdown|Action Pi_Shutdown|/1/command command=pi_shutdown|TBD
Startup and Shutdown|Action Pi_Reboot|/1/command command=pi_reboot|TBD
Startup and Shutdown|Action Verify|/1/command command=pi_is_verified|TBD
Files|Http Get Image File|/1/command command=get_albums|TBD
Files|Action Get_Albums|/1/command command=get_albums|TBD
Files|Action Get_Img_Name_Field|/1/command command=get_img_name_field|TBD
Files|Action Set_Sequence_Group_Name|/1/command command=set_sequence_setting|TBD
Files|Action Set_Img_Name_Field|/1/command command=set_img_name_field|TBD
Sync and Goto|Action Iscope_Stop_View_Goto|/1/command command=iscope_stop_view|TBD
Sync and Goto|Action Sync_Scope|/1/command command=scope_sync|TBD
Sync and Goto|Action Iscope_Stop_View_Dark|/1/command command=iscope_stop_view|TBD
Sync and Goto|Action Iscope_Stop_View|/1/command command=iscope_stop_view|TBD
Sync and Goto|Action Iscope_Stop_View_Stack|/1/command command=iscope_stop_view|TBD
Get info|Action Get_Camera_State|/1/command command=get_camera_state|TBD
Get info|Action Get_Camera_Info|/1/command command=get_camera_info|TBD
Get info|Action Get_Control|/1/command command=get_controls|TBD
Get info|Action Get_App_Ap|/1/command command=pi_get_ap|TBD
Get info|Action Iscope_Get_App_State|/1/command command=iscope_get_app_state|TBD
Get info|Action Get_User_Location|/1/command command=get_user_location|TBD
Get info|Set_App_Setting_Goto_Target_Name|/1/command command=set_app_setting|TBD
Get info|Action Scope_Get_Track_State|/1/command command=scope_get_track_state|TBD
Get info|Action Scope_Get_Ra_Dec|/1/command command=scope_get_ra_dec|TBD
Get info|Action Get_Image_Save_Path|/1/command command=get_image_save_path|TBD
Get info|Action Get_Test_Setting|/1/command command=get_test_setting|TBD
Get info|Action Get_Stack_Setting|/1/command command=get_stack_setting|TBD
Get info|Action Get_View_State|/1/command command=get_view_state|TBD
Get info|Action Get_Stack_Info|/1/command command=get_stack_info|TBD
Get info|Action Get_Device_State|/1/command command=get_device_state|TBD
Get info|Action Get_Camera_Exp_And_Bin|/1/command command=get_camera_exp_and_bin|TBD
Get info|Action Get_Setting|/1/command command=get_setting|TBD
Get info|Get_App_Setting|/1/command command=get_app_setting|TBD
Get info|Action Get_Control_Value_Gain|/1/command command=get_control_value|TBD
Get info|Get_Sequence_Setting|/1/command command=get_sequence_setting|TBD
Get info|Action Get_Control_Value_Exposure|/1/command command=get_control_value|TBD
Get info|Action Is_Stacked|/1/command command=is_stacked|TBD
Get info|Action Get_Img_Name_Field|/1/command command=get_img_name_field|TBD
Get info|Action Get_Disk_Volume|/1/command command=get_disk_volume|TBD
Get info|Action Get_Last_Solve_Result|/1/command command=get_last_solve_result|TBD
Get info|Action Pi_Get_Time|/1/command command=pi_get_time|TBD
Get info|Set_Sequence_Setting|/1/command command=set_sequence_setting|TBD
Get info|Action Get_Annotated_Result|/1/command command=get_annotate_result|TBD
Get info|Action Scope_Get_Equ_Coord|/1/command command=scope_get_equ_coord|TBD
Mount and Platesolving|Action Set_Stack_Setting|/1/command command=set_stack_setting|TBD
Mount and Platesolving|Action Start_Solve|/1/command command=start_solve|TBD
Mount and Platesolving|Action Scope_Park|/1/command command=scope_park|TBD
Mount and Platesolving|Action Scope_Set_Track_State|/1/command command=scope_set_track_state|TBD
Mount and Platesolving|Action Set_Setting_Dithering|/1/command command=set_setting|TBD
Mount and Platesolving|Action Get_Last_Solve_Result|/1/command command=get_last_solve_result|TBD
Mount and Platesolving|Action Get_Solve_Result|/1/command command=get_solve_result|TBD
Mount and Platesolving|Action Set_Setting_Horizontalcal|/1/command command=set_setting|TBD
Move|Action Scope_Speed_Move_Slow_Right|/1/command command=scope_speed_move|TBD
Move|Action Scope_Move_To_Horizon|/1/command command=scope_move_to_horizon|TBD
Move|Action Scope_Speed_Stop|/1/command command=scope_speed_move|TBD
Move|Action Scope_Speed_Move_Fast|/1/command command=scope_speed_move|TBD
Filter Wheel|Get_Wheel_State|/1/command command=get_wheel_state|TBD
Filter Wheel|Get_Wheel_Position|/1/command command=get_wheel_position|TBD
Filter Wheel|Set_Wheel_Position|/1/command command=set_wheel_position|TBD
Filter Wheel|Get_Wheel_Setting|/1/command command=get_wheel_setting|TBD
Filter Wheel|Action Lenhance|/1/command command=set_setting|TBD
camera|Action Set_Controls_Gain|/1/command command=set_control_value|TBD
camera|Action Stop_Exposure|/1/command command=stop_exposure|TBD
camera|Action Set_Setting_Exposures|/1/command command=set_setting|TBD
camera|Action Start_Exposure|/1/command command=start_exposure|TBD
camera|Action Set_Setting_Ae_Brightness|/1/command command=set_setting|TBD
Actions|Action Heater|/1/command command=pi_output_set2|TBD
GettingStarted|Action Pi_Shutdown|/1/command command=pi_shutdown|TBD
Focuser|Action Start_Auto_Focus|/1/command command=start_auto_focuse|TBD
Focuser|Action Get_Focuser_Position_Param|/1/command command=get_focuser_position|TBD
Focuser|Action Get_Focuser_Position|/1/command command=get_focuser_position|TBD
Focuser|Action Stop_Auto_Focus|/1/command command=stop_auto_focuse|TBD
